pid,name,cpu
63539,/System/Library/,0.0
63546,/System/Library/,0.0
63553,/System/Library/,0.0
63554,/System/Library/,0.0
63558,/System/Library/,0.0
63561,/usr/libexec/sec,0.0
63563,/usr/libexec/fin,0.0
63618,/usr/libexec/log,0.0
63741,/usr/libexec/mob,0.0
63742,/usr/libexec/smd,0.0
64021,/Applications/Ob,0.0
64026,/System/Library/,0.0
64028,/usr/libexec/net,0.0
64031,/System/Library/,0.0
64032,/System/Library/,0.0
64033,/usr/libexec/rtc,0.0
64042,/System/Library/,0.0
64043,/System/Cryptexe,0.0
64044,/usr/libexec/key,0.0
64144,/usr/libexec/key,0.0
64274,/System/Library/,0.0
64368,/usr/libexec/ass,0.0
64370,/System/Library/,0.0
64371,/System/Library/,0.0
64372,/usr/libexec/fee,0.0
64373,/usr/libexec/osp,0.0
64374,/usr/libexec/rep,0.0
64379,/System/Library/,0.0
64382,/System/Library/,0.0
64390,/usr/libexec/mlh,0.0
64395,/System/Library/,0.0
64396,/System/Library/,0.0
64397,/System/Library/,0.0
64398,/usr/libexec/san,0.0
64399,/System/Library/,0.0
64406,/usr/libexec/aud,0.0
64408,/System/Library/,0.0
64413,/System/Library/,0.0
64414,/usr/libexec/ane,0.0
64415,/System/Library/,0.0
64416,/System/Library/,0.0
64419,/usr/libexec/tri,0.0
64420,/System/Library/,0.0
64422,/System/Library/,0.0
64424,/System/Library/,0.0
64425,/System/Library/,0.0
64426,/System/Library/,0.0
64427,/usr/libexec/bio,0.0
64428,/usr/libexec/sir,0.0
64429,/System/Library/,0.0
64431,/System/Library/,0.0
64432,/System/Library/,0.0
64433,/usr/libexec/ass,0.0
64434,/System/Library/,0.0
64554,/usr/libexec/tri,0.0
64555,/usr/libexec/key,0.0
64594,/usr/libexec/amf,0.0
64763,/usr/libexec/inp,0.0
64996,/System/Library/,0.0
64997,/System/Library/,0.0
64998,/System/Library/,0.0
65003,/System/Library/,0.0
65009,/System/Library/,0.0
65011,/System/Library/,0.0
65012,/System/Library/,0.0
65014,/usr/libexec/uar,0.0
65015,/System/Library/,0.0
65016,/System/Library/,0.0
65018,/usr/libexec/Ass,0.0
65019,/System/Library/,0.0
65020,/System/Library/,0.0
65021,/System/Library/,0.0
65022,/System/Library/,0.0
65023,/System/Library/,0.0
65030,/System/Library/,0.0
65031,/System/Library/,0.0
65056,/System/Library/,0.0
65057,/usr/libexec/app,0.0
65082,/usr/libexec/cou,0.0
65103,/System/Library/,0.0
65104,/System/Library/,0.0
65132,/usr/libexec/tra,0.0
65133,/System/Library/,0.0
65152,/usr/libexec/gam,0.0
65153,/usr/libexec/gam,0.0
65169,/Applications/Go,0.4
65174,/Applications/Go,0.0
65175,/usr/libexec/dmd,0.0
65179,/Applications/Go,0.5
65180,/Applications/Go,0.0
65181,/Applications/Go,0.0
65184,/usr/libexec/MTL,0.0
65185,/System/Library/,0.0
65186,/System/Library/,0.0
65187,/System/Library/,0.0
65188,/System/Cryptexe,0.0
65189,/Applications/Go,0.0
65195,/Applications/Go,0.0
65196,/System/Library/,0.0
65197,/usr/libexec/nes,0.0
65198,/System/Library/,0.0
65200,/Applications/Go,0.0
65201,/Applications/Go,0.0
65202,/Applications/Go,0.0
65203,/usr/libexec/con,0.0
65204,/System/Library/,0.0
65205,/Applications/Go,1.3
65207,/System/Library/,0.0
65208,/System/Library/,0.0
65209,/usr/libexec/con,0.0
65218,/usr/libexec/bet,0.0
65219,/usr/libexec/bet,0.0
65223,/System/Library/,0.0
65244,/System/Library/,0.0
65251,/System/Library/,0.0
65252,/System/Library/,0.0
65253,/System/Library/,0.0
65274,/usr/libexec/nat,0.0
65278,/System/Library/,0.0
65279,/System/Library/,0.0
65281,/System/Library/,0.0
65330,/System/Library/,0.0
65331,/System/Library/,0.0
65332,/System/Library/,0.0
65333,/System/Library/,0.0
65335,/System/Library/,0.0
65336,/System/Library/,0.0
65337,/System/Library/,0.0
65338,/usr/libexec/pro,0.0
65339,/usr/libexec/fai,0.0
65340,/System/Library/,0.0
65341,/usr/libexec/wal,0.0
65342,/System/Library/,0.0
65344,/System/Library/,0.0
65345,/System/Library/,0.0
65346,/System/Library/,0.0
65347,/usr/libexec/fin,0.0
65349,/usr/libexec/pow,0.0
65350,/usr/libexec/col,0.0
65351,/System/Library/,0.0
65352,/usr/libexec/col,0.0
65353,/System/Library/,0.0
65361,/usr/libexec/sym,0.0
65362,/usr/libexec/dpr,0.0
65363,/usr/sbin/cfpref,0.0
65364,/usr/sbin/cfpref,0.0
65365,/usr/sbin/cfpref,0.0
65366,/usr/libexec/rem,0.0
65368,/usr/sbin/cfpref,0.0
65369,/usr/sbin/cfpref,0.0
65371,/usr/libexec/cip,0.0
65372,/usr/sbin/cfpref,0.0
65373,/System/Library/,0.0
65374,/System/Library/,0.0
65378,/usr/sbin/cfpref,0.0
